run_file,scenario,algorithm,vus,metric,value
result2.txt,secondary,FN-DSA-512,30,refresh_avg,1053.393
result2.txt,secondary,FN-DSA-512,30,refresh_p95,2133.884
result2.txt,secondary,FN-DSA-512,30,e2e_avg,18.35
result2.txt,secondary,FN-DSA-512,30,e2e_p95,41.52
result2.txt,secondary,FN-DSA-512,30,rps,13.67
result2.txt,secondary,FN-DSA-512,50,login_avg,1861.803
result2.txt,secondary,FN-DSA-512,50,login_p95,3616.883
result2.txt,secondary,FN-DSA-512,50,refresh_avg,1688.687
result2.txt,secondary,FN-DSA-512,50,refresh_p95,3221.74
result2.txt,secondary,FN-DSA-512,50,e2e_avg,18.067
result2.txt,secondary,FN-DSA-512,50,e2e_p95,52.383
result2.txt,secondary,FN-DSA-512,50,rps,14.37
result2.txt,isolated,HS256,,pure_avg,0.002
result2.txt,isolated,HS256,,pure_p95,0.003
result2.txt,isolated,HS256,,access_avg,0.01
result2.txt,isolated,HS256,,access_p95,0.028
result2.txt,isolated,HS256,,refresh_avg,0.008
result2.txt,isolated,HS256,,refresh_p95,0.017
result2.txt,isolated,HS256,,e2e_avg,0.019
result2.txt,isolated,HS256,,cpu_per_tok,0.05
result2.txt,isolated,HS256,,rss_kb,41805.96
result2.txt,stress,HS256,10,access_avg,0.09
result2.txt,stress,HS256,10,access_p95,0.154
result2.txt,stress,HS256,10,refresh_avg,0.012
result2.txt,stress,HS256,10,refresh_p95,0.015
result2.txt,stress,HS256,10,token_ok_s,13.0
result2.txt,stress,HS256,30,access_avg,0.084
result2.txt,stress,HS256,30,access_p95,0.101
result2.txt,stress,HS256,30,refresh_avg,0.011
result2.txt,stress,HS256,30,refresh_p95,0.022
result2.txt,stress,HS256,30,token_ok_s,13.03
result2.txt,stress,HS256,50,access_avg,0.074
result2.txt,stress,HS256,50,access_p95,0.145
result2.txt,stress,HS256,50,refresh_avg,0.01
result2.txt,stress,HS256,50,refresh_p95,0.019
result2.txt,stress,HS256,50,token_ok_s,14.3
result2.txt,secondary,HS256,10,login_avg,397.386
result2.txt,secondary,HS256,10,login_p95,677.261
result2.txt,secondary,HS256,10,refresh_avg,306.073
result2.txt,secondary,HS256,10,refresh_p95,612.487
result2.txt,secondary,HS256,10,e2e_avg,17.845
result2.txt,secondary,HS256,10,e2e_p95,38.421
result2.txt,secondary,HS256,10,rps,13.0
result2.txt,secondary,HS256,30,login_avg,1153.625
result2.txt,secondary,HS256,30,login_p95,2167.781
result2.txt,secondary,HS256,30,refresh_avg,1113.411
result2.txt,secondary,HS256,30,refresh_p95,2656.396
result2.txt,secondary,HS256,30,e2e_avg,17.589
result2.txt,secondary,HS256,30,e2e_p95,43.576
result2.txt,secondary,HS256,30,rps,13.03
result2.txt,secondary,HS256,50,login_avg,1858.584
result2.txt,secondary,HS256,50,login_p95,3846.364
result2.txt,secondary,HS256,50,refresh_avg,1711.003
result2.txt,secondary,HS256,50,refresh_p95,3608.367
result2.txt,secondary,HS256,50,e2e_avg,17.038
result2.txt,secondary,HS256,50,e2e_p95,42.037
result2.txt,secondary,HS256,50,rps,14.3
result2.txt,isolated,RS256,,pure_avg,1.098
result2.txt,isolated,RS256,,pure_p95,1.327
result2.txt,isolated,RS256,,access_avg,1.288
result2.txt,isolated,RS256,,access_p95,1.51
result2.txt,isolated,RS256,,refresh_avg,1.291
result2.txt,isolated,RS256,,refresh_p95,1.518
result2.txt,isolated,RS256,,e2e_avg,2.585
result2.txt,isolated,RS256,,cpu_per_tok,1.45
result2.txt,isolated,RS256,,rss_kb,42305.88
result2.txt,stress,RS256,10,access_avg,1.911
result2.txt,stress,RS256,10,access_p95,4.156
result2.txt,stress,RS256,10,refresh_avg,2.356
result2.txt,stress,RS256,10,refresh_p95,4.456
result2.txt,stress,RS256,10,token_ok_s,13.0
result2.txt,stress,RS256,30,access_avg,2.64
result2.txt,stress,RS256,30,access_p95,8.027
result2.txt,stress,RS256,30,refresh_avg,2.581
result2.txt,stress,RS256,30,refresh_p95,5.315
result2.txt,stress,RS256,30,token_ok_s,12.27
result2.txt,stress,RS256,50,access_avg,3.802
result2.txt,stress,RS256,50,access_p95,22.645
result2.txt,stress,RS256,50,refresh_avg,2.264
result2.txt,stress,RS256,50,refresh_p95,4.401
result2.txt,stress,RS256,50,token_ok_s,13.73
result2.txt,secondary,RS256,10,login_avg,399.652
result2.txt,secondary,RS256,10,login_p95,691.142
result2.txt,secondary,RS256,10,refresh_avg,304.977
result2.txt,secondary,RS256,10,refresh_p95,588.636
result2.txt,secondary,RS256,10,e2e_avg,16.938
result2.txt,secondary,RS256,10,e2e_p95,32.279
result2.txt,secondary,RS256,10,rps,13.0
result2.txt,secondary,RS256,30,login_avg,1305.18
result2.txt,secondary,RS256,30,login_p95,2783.608
result2.txt,secondary,RS256,30,refresh_avg,1141.805
result2.txt,secondary,RS256,30,refresh_p95,2585.013
result2.txt,secondary,RS256,30,e2e_avg,17.014
result2.txt,secondary,RS256,30,e2e_p95,33.446
result2.txt,secondary,RS256,30,rps,12.27
result2.txt,secondary,RS256,50,login_avg,1948.95
result2.txt,secondary,RS256,50,login_p95,3840.065
result2.txt,secondary,RS256,50,refresh_avg,1788.015
result2.txt,secondary,RS256,50,refresh_p95,4036.715
result2.txt,secondary,RS256,50,e2e_avg,19.096
result2.txt,secondary,RS256,50,e2e_p95,48.445
result2.txt,secondary,RS256,50,rps,13.73
result2.txt,isolated,ES256,,pure_avg,0.042
result2.txt,isolated,ES256,,pure_p95,0.056
result2.txt,isolated,ES256,,access_avg,0.06
result2.txt,isolated,ES256,,access_p95,0.089
result2.txt,isolated,ES256,,refresh_avg,0.057
result2.txt,isolated,ES256,,refresh_p95,0.079
result2.txt,isolated,ES256,,e2e_avg,0.118
result2.txt,isolated,ES256,,cpu_per_tok,0.1
result2.txt,isolated,ES256,,rss_kb,42178.2
result2.txt,stress,ES256,10,access_avg,0.19
result2.txt,stress,ES256,10,access_p95,0.517
result2.txt,stress,ES256,10,refresh_avg,0.071
result2.txt,stress,ES256,10,refresh_p95,0.079
result2.txt,stress,ES256,10,token_ok_s,12.93
result2.txt,stress,ES256,30,access_avg,0.217
result2.txt,stress,ES256,30,access_p95,0.383
result2.txt,stress,ES256,30,refresh_avg,0.062
result2.txt,stress,ES256,30,refresh_p95,0.08
result2.txt,stress,ES256,30,token_ok_s,13.63
result2.txt,stress,ES256,50,access_avg,0.323
result2.txt,stress,ES256,50,access_p95,0.675
result2.txt,stress,ES256,50,refresh_avg,0.069
result2.txt,stress,ES256,50,refresh_p95,0.088
result2.txt,stress,ES256,50,token_ok_s,14.23
result2.txt,secondary,ES256,10,login_avg,333.279
result2.txt,secondary,ES256,10,login_p95,661.383
result2.txt,secondary,ES256,10,refresh_avg,280.492
result2.txt,secondary,ES256,10,refresh_p95,650.701
result2.txt,secondary,ES256,10,e2e_avg,111.694
result2.txt,secondary,ES256,10,e2e_p95,492.653
result2.txt,secondary,ES256,10,rps,12.93
result2.txt,secondary,ES256,30,login_avg,1144.921
result2.txt,secondary,ES256,30,login_p95,2269.343
result2.txt,secondary,ES256,30,refresh_avg,1030.683
result2.txt,secondary,ES256,30,refresh_p95,2115.447
result2.txt,secondary,ES256,30,e2e_avg,16.462
result2.txt,secondary,ES256,30,e2e_p95,25.03
result2.txt,secondary,ES256,30,rps,13.63
result2.txt,secondary,ES256,50,login_avg,1867.635
result2.txt,secondary,ES256,50,login_p95,3973.091
result2.txt,secondary,ES256,50,refresh_avg,1720.271
